FECHA HECHO	COD_DEPTO	DEPARTAMENTO	COD_MUNI	MUNICIPIO	TIPO DELITO	CANTIDAD
1/01/1996 0:00	5	ANTIOQUIA	5,042	SANTAFE DE ANTIOQUIA	SECUESTRO SIMPLE	1
1/01/1996 0:00	25	CUNDINAMARCA	25,29	FUSAGASUGA	SECUESTRO EXTORSIVO	1
1/02/1996 0:00	5	ANTIOQUIA	5,038	ANGOSTURA	SECUESTRO EXTORSIVO	1
1/02/1996 0:00	5	ANTIOQUIA	5,088	BELLO	SECUESTRO EXTORSIVO	1
1/02/1996 0:00	11	BOGOTÁ D.C.	11,001	BOGOTA, D.C.	SECUESTRO EXTORSIVO	1
1/02/1996 0:00	68	SANTANDER	68,001	BUCARAMANGA	SECUESTRO EXTORSIVO	1
1/03/1996 0:00	11	BOGOTÁ D.C.	11,001	BOGOTA, D.C.	SECUESTRO EXTORSIVO	1
1/04/1996 0:00	5	ANTIOQUIA	5,042	SANTAFE DE ANTIOQUIA	SECUESTRO EXTORSIVO	1
1/04/1996 0:00	18	CAQUETÁ	18,592	PUERTO RICO	SECUESTRO EXTORSIVO	1
1/04/1996 0:00	63	QUINDÍO	63,001	ARMENIA	SECUESTRO EXTORSIVO	1
1/05/1996 0:00	5	ANTIOQUIA	5,088	BELLO	SECUESTRO EXTORSIVO	1
1/05/1996 0:00	11	BOGOTÁ D.C.	11,001	BOGOTA, D.C.	SECUESTRO EXTORSIVO	1
1/05/1996 0:00	25	CUNDINAMARCA	25,377	LA CALERA	SECUESTRO EXTORSIVO	1
1/06/1996 0:00	5	ANTIOQUIA	5,001	MEDELLIN	SECUESTRO EXTORSIVO	1
1/06/1996 0:00	5	ANTIOQUIA	5,042	SANTAFE DE ANTIOQUIA	SECUESTRO EXTORSIVO	2
1/07/1996 0:00	5	ANTIOQUIA	5,761	SOPETRAN	SECUESTRO EXTORSIVO	1
1/08/1996 0:00	5	ANTIOQUIA	5,001	MEDELLIN	SECUESTRO EXTORSIVO	3
1/08/1996 0:00	5	ANTIOQUIA	5,042	SANTAFE DE ANTIOQUIA	SECUESTRO EXTORSIVO	2
1/08/1996 0:00	5	ANTIOQUIA	5,045	APARTADO	SECUESTRO EXTORSIVO	1
1/08/1996 0:00	44	LA GUAJIRA	44,874	VILLANUEVA	SECUESTRO EXTORSIVO	2
1/09/1996 0:00	41	HUILA	41,306	GIGANTE	SECUESTRO EXTORSIVO	1
1/09/1996 0:00	81	ARAUCA	81,591	PUERTO RONDON	SECUESTRO EXTORSIVO	1
1/10/1996 0:00	5	ANTIOQUIA	5,042	SANTAFE DE ANTIOQUIA	SECUESTRO EXTORSIVO	2
