DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
HUILA,CAMPOALEGRE,41132,NO REPORTADO,1/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,SAN JUAN DE ARAMA,50683,NO REPORTADO,1/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,MEDELLIN,5001,ARMA DE FUEGO,2/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
NARIÑO,TAMINANGO,52786,ARMA DE FUEGO,2/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,YUMBO,76892,ARMA DE FUEGO,2/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
CAQUETÁ,SOLITA,18785,ARMA BLANCA / CORTOPUNZANTE,2/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR,20001,ARMA BLANCA / CORTOPUNZANTE,2/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,PESCA,15542,NO REPORTADO,2/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,PALERMO,41524,NO REPORTADO,2/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,EL CASTILLO,50251,NO REPORTADO,2/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,VENADILLO,73861,NO REPORTADO,2/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,BUCARAMANGA,68001,ARMA DE FUEGO,3/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,TULUÁ,76834,ARMA BLANCA / CORTOPUNZANTE,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,PUERTO NARE,5585,NO REPORTADO,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ATLANTICO,SUAN,8770,NO REPORTADO,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOLIVAR,MARÍA LA BAJA,13442,NO REPORTADO,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,FUSAGASUGÁ,25290,NO REPORTADO,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,EL CASTILLO,50251,NO REPORTADO,3/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
VALLE DEL CAUCA,ROLDANILLO,76622,NO REPORTADO,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,SABANA DE TORRES,68655,SIN EMPLEO DE ARMAS,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CALDAS,VILLAMARÍA,17873,NO REPORTADO,4/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,PUERTO LÓPEZ,50573,NO REPORTADO,4/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,SAN MARTÍN,50689,NO REPORTADO,4/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,TOLÚ,70820,NO REPORTADO,4/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ATLANTICO,BARRANQUILLA,8001,ARMA DE FUEGO,5/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
CESAR,GAMARRA,20295,ARMA BLANCA / CORTOPUNZANTE,5/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,PITALITO,41551,ARMA BLANCA / CORTOPUNZANTE,5/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ATLANTICO,SABANALARGA,8638,NO REPORTADO,5/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,GIGANTE,41306,NO REPORTADO,5/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO,50001,NO REPORTADO,5/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,2
BOYACA,PAIPA,15516,NO REPORTADO,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CALDAS,SAMANÁ,17662,NO REPORTADO,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,PAZ DE ARIPORO,85250,NO REPORTADO,6/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
HUILA,CAMPOALEGRE,41132,NO REPORTADO,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,GIGANTE,41306,NO REPORTADO,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,SOCORRO,68755,NO REPORTADO,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,VÉLEZ,68861,NO REPORTADO,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,IBAGUÉ,73001,NO REPORTADO,6/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,ARMA DE FUEGO,7/01/2010,NO REPORTADO,NO REPORTADO,HURTO ENTIDADES FINANCIERAS,1
